web-scraper-order,model_raw,Location,PLZ,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,lat,lon
1705078123-304,X3 xDrive 30i M Sport Steptronic,GR,7000,2020,47300,52800.0,0,0,1,1,50-120k,13200.0,46.864017486572266,9.535412788391113
1705078123-305,X5 xDrive M50d Steptronic,ZH,8424,2014,33800,128200.0,0,0,1,1,120k+,12820.0,47.50142288208008,8.599289894104004
1705078123-306,218i Active Tourer,BL,4123,2016,14900,71500.0,0,0,0,1,50-120k,8937.5,47.55607223510742,7.554165840148926
1705078123-307,135i Coupé,BE,2556,2011,16000,220000.0,0,0,0,1,120k+,16923.08,47.21074295043945,7.455659866333008
1705078123-308,118i Essential Edition,SO,2540,2022,27800,18000.0,0,0,0,0,0-50k,9000.0,47.20136260986328,7.386629104614258
1705078123-309,520d xDrive 48V Touring Pure M Sport Edition,ZH,8953,2022,52900,24500.0,0,0,1,1,0-50k,12250.0,47.40451431274414,8.402215957641602
1705078123-310,M135i xDrive Steptronic,BL,4132,2020,36900,47100.0,0,0,1,1,0-50k,11775.0,47.52479553222656,7.647059917449951
1705078131-311,325Ci Cabriolet,ZH,8712,2001,6500,211200.0,0,0,0,0,120k+,9182.61,47.240299224853516,8.722662925720215
1705078131-312,X5 xDrive 40d Steptronic,AG,5430,2012,13900,210000.0,0,0,1,1,120k+,17500.0,47.463890075683594,8.345504760742188
1705078131-313,M550d xDrive Touring Steptronic,SO,4616,2013,27800,124000.0,0,0,1,1,120k+,11272.73,47.310760498046875,7.847932815551758
1705078131-314,X7 xDrive 48V 40d Steptronic,BE,3172,2021,65900,97800.0,0,0,1,1,50-120k,32600.0,46.92572021484375,7.3785576820373535
1705078131-315,X3 M40d Individual Steptronic,ZH,8107,2020,49900,74200.0,0,0,0,1,50-120k,18550.0,47.45336151123047,8.42252254486084
1705078131-316,218d Active Tourer DKG,TG,8500,8500,47900,,0,0,0,1,,,47.549861907958984,8.935318946838379
